label,dim1,dim2
wc0,-26.631123,14.67332
wc0,-26.505554,26.120085
wc0,-34.139572,23.661026
wc0,-30.876196,16.714159
wc0,-36.513824,31.25841
wc0,-32.284443,25.314013
wc0,-22.338705,30.270369
wc0,-37.845074,20.91066
wc0,-25.977594,26.403582
wc0,-24.415066,14.040643
wc0,-26.723896,22.797842
wc0,-25.210619,32.044918
wc0,-15.872995,29.831964
wc0,-24.746317,10.986128
wc0,-27.935078,26.296297
wc0,-26.935764,10.597096
wc0,-27.237995,23.042446
wc0,-29.654596,19.123804
wc0,-28.491898,28.443184
wc0,-32.1242,14.99446
wc0,-20.88308,27.997435
wc0,-28.409018,29.529083
wc0,-33.643574,13.696919
wc0,-26.531975,35.645412
wc0,-31.808365,32.556923
wc0,-18.40148,26.841156
wc0,-23.001102,26.201675
wc0,-25.09968,19.370848
wc0,-18.006042,17.442953
wc0,-20.682156,22.421583
wc0,-26.934252,24.306131
wc0,-17.15318,12.308198
wc0,-18.233767,23.943031
wc0,-22.619406,20.453316
wc0,-21.594744,20.68574
wc0,-25.177433,29.985062
wc0,-17.332233,29.561163
wc0,-12.861658,29.86537
wc0,-30.371618,25.274948
wc0,-15.211204,26.759598
wc0,-34.44653,33.083435
wc0,-24.603369,26.32441
wc0,-26.44476,25.05012
wc0,-23.103249,26.380312
wc0,-36.733776,26.70452
wc0,-17.901466,21.004044
wc0,-24.20849,23.911465
wc0,-18.94139,24.18792
wc0,-24.71254,25.886742
wc0,-19.027441,22.48983
wc0,-26.914228,8.874674
wc0,-21.631617,13.48201
wc0,-10.668758,17.184269
wc0,-19.805574,24.429367
wc0,-26.122656,14.93872
wc0,-30.567596,17.295523
wc0,-34.223812,31.470858
wc0,-26.312988,21.223236
wc0,-30.10933,16.002323
wc0,-29.688038,14.398546
wc0,-23.069105,12.899688
wc0,-35.248566,17.346067
wc0,-30.706717,15.411884
wc0,-27.579075,20.854954
wc0,-23.344822,17.411547
wc0,-23.735037,21.5951
wc0,-20.627485,20.188366
wc0,-21.771587,6.893456
wc0,-31.394743,35.32896
wc0,-18.32326,18.905968
wc0,-23.111465,24.21306
wc0,-15.4864645,18.034279
wc0,-26.547283,12.281839
wc0,-14.31468,23.577938
wc0,-25.590069,22.07535
wc0,-17.641836,7.720355
wc0,-22.246223,35.34432
wc0,-14.856954,25.718142
wc0,-23.658678,9.788492
wc0,-18.357996,30.893663
wc0,-28.376162,37.40489
wc0,-29.436201,26.699163
wc0,-27.525963,15.679977
wc0,-16.659098,13.58156
wc0,-29.629824,24.173452
wc0,-20.87343,23.360613
wc0,-28.64327,26.418964
wc0,-19.65889,24.982834
wc0,-30.860165,30.94582
wc0,-16.37505,17.92424
wc0,-11.767613,29.454483
wc0,-21.22887,16.549736
wc0,-35.12311,26.886124
wc0,-19.523624,24.943165
wc0,-26.43801,16.466833
wc0,-23.067457,21.441904
wc0,-25.665735,11.845546
wc0,-33.33467,31.297113
wc0,-19.118683,32.415897
wc0,-30.200085,22.899345
wc0,-14.731948,26.553389
wc0,-18.956106,30.294231
wc0,-29.575043,27.094858
wc0,-37.737328,24.015518
wc0,-22.315315,30.23805
wc0,-21.842031,25.868786
wc0,-24.498203,30.606274
wc0,-16.333939,24.443747
wc0,-31.463993,25.283636
wc0,-11.129093,22.532272
wc0,-32.193462,16.301775
wc0,-26.415976,10.420486
wc0,-18.954136,19.84095
wc0,-20.83947,34.81623
wc0,-18.418854,25.52315
wc0,-29.228432,12.373488
wc0,-36.86505,19.389046
wc0,-25.70198,14.688751
wc0,-22.451918,24.741734
wc0,-22.368235,22.385437
wc0,-15.930827,24.366756
wc0,-31.200026,29.365105
wc0,-21.242544,21.829765
wc0,-18.329453,26.838179
wc0,-21.139534,16.66048
wc0,-21.636522,10.960828
wc0,-21.707644,26.826384
wc0,-33.332165,19.084385
wc0,-31.203962,14.882566
wc0,-22.334856,24.80645
wc0,-26.02893,32.555878
wc0,-33.259476,18.418352
wc0,-29.524376,18.526243
wc0,-30.611088,18.238468
wc0,-22.494392,35.188854
wc0,-22.16544,18.232807
wc0,-15.041206,20.242937
wc0,-19.13837,12.1011095
wc0,-25.700462,35.087723
wc0,-16.253416,19.986736
wc0,-21.64657,33.00598
wc0,-28.479942,27.351795
wc0,-19.176323,23.936522
wc0,-17.369965,23.5828
wc0,-29.939734,34.8411
wc0,-23.065788,29.03501
wc0,-22.558018,32.271202
wc0,-22.032856,33.972076
wc0,-17.857347,27.544933
wc0,-26.739504,33.307125
wc0,-25.875443,33.509678
wc0,-24.81876,33.22705
wc0,-20.980312,26.90359
wc0,-18.240877,23.701515
wc0,-24.841824,22.739792
wc0,-22.481733,19.07253
wc0,-26.04845,10.962499
wc0,-20.418425,22.378586
wc0,-30.590664,19.860865
wc0,-27.541296,29.532852
wc0,-22.516653,16.00953
wc0,-33.267826,19.023066
wc0,-30.266397,26.987682
wc0,-36.016697,24.691334
wc0,-19.23844,26.646683
wc0,-21.941164,26.618645
wc0,-22.251694,14.925032
wc0,-17.808159,35.351738
wc0,-37.581627,17.744905
wc0,-18.664835,32.471073
wc0,-20.386255,22.29397
wc0,-24.066935,15.210369
wc0,-25.783316,16.838842
wc0,-28.59936,33.223186
wc0,-21.895332,30.69617
wc0,-16.595984,29.12225
wc0,-33.06494,18.511805
wc0,-13.751308,-5.100594
wc0,-21.266298,34.96728
wc0,-29.20234,19.652441
wc0,-14.875185,9.91818
wc0,-35.116577,25.029531
wc0,-13.694394,32.662895
wc0,-20.775179,18.357388
wc0,-32.928173,29.227924
wc0,-22.501472,31.813847
wc0,-29.846827,10.562005
wc0,-23.536755,9.341869
wc0,-25.266628,37.676678
wc0,-11.932348,18.034204
wc0,-26.307524,18.004808
wc0,-21.398138,28.922363
wc0,-36.371067,23.321716
wc0,-25.078306,15.312982
wc0,-33.041603,24.81781
wc0,-32.32343,19.977602
wc0,-34.27407,18.5959
wc0,-23.865286,27.101566
wc0,-32.37493,23.08821
wc0,-8.082394,-2.562274
wc0,-23.32673,9.213424
wc0,-37.79314,16.339495
wc0,-30.057741,24.410519
wc0,-23.508938,13.047912
wc0,-40.58894,19.776123
wc0,-33.056553,17.96624
wc0,-8.298004,-13.712683
wc0,-16.220644,25.815351
wc0,-18.391457,37.405643
wc0,-18.788733,23.30156
wc0,-23.721632,32.238888
wc0,-37.635117,21.667318
wc0,-19.607998,26.12022
wc0,-17.398603,23.861532
wc0,-39.493908,27.511087
wc0,-16.31969,36.231983
